Title,Embeddings,Algorithm,Num Clusters,Silhouette Score
LDA_AggClustering_nc:6_link:single_aff:l2,LDA,Agg_Clustering,6,0.16536609537418254
LDA_AggClustering_nc:6_link:single_aff:euclidean,LDA,Agg_Clustering,6,0.16536609537418254
LDA_AggClustering_nc:6_link:single_aff:l1,LDA,Agg_Clustering,6,0.15908598307638522
LDA_AggClustering_nc:6_link:single_aff:manhattan,LDA,Agg_Clustering,6,0.15908598307638522
LDA_AggClustering_nc:6_link:average_aff:l1,LDA,Agg_Clustering,6,0.1498840770638353
LDA_AggClustering_nc:6_link:average_aff:manhattan,LDA,Agg_Clustering,6,0.1498840770638353
LDA_AggClustering_nc:6_link:average_aff:euclidean,LDA,Agg_Clustering,6,0.1452286139604397
LDA_AggClustering_nc:6_link:average_aff:l2,LDA,Agg_Clustering,6,0.1452286139604397
LDA_AggClustering_nc:8_link:single_aff:euclidean,LDA,Agg_Clustering,8,0.13945566169760612
LDA_AggClustering_nc:8_link:single_aff:l2,LDA,Agg_Clustering,8,0.13945566169760612
LDA_AggClustering_nc:8_link:average_aff:manhattan,LDA,Agg_Clustering,8,0.1372480311722277
LDA_AggClustering_nc:8_link:average_aff:l1,LDA,Agg_Clustering,8,0.1372480311722277
LDA_AggClustering_nc:8_link:single_aff:manhattan,LDA,Agg_Clustering,8,0.13238059325779186
LDA_AggClustering_nc:8_link:single_aff:l1,LDA,Agg_Clustering,8,0.13238059325779186
LDA_AggClustering_nc:10_link:single_aff:euclidean,LDA,Agg_Clustering,10,0.13225332111296215
LDA_AggClustering_nc:10_link:single_aff:l2,LDA,Agg_Clustering,10,0.13225332111296215
LDA_CURE_nc:6,LDA,CURE,6,0.1285274340202747
LDA_AggClustering_nc:10_link:average_aff:manhattan,LDA,Agg_Clustering,10,0.1278373856291333
LDA_AggClustering_nc:10_link:average_aff:l1,LDA,Agg_Clustering,10,0.1278373856291333
LDA_AggClustering_nc:10_link:single_aff:manhattan,LDA,Agg_Clustering,10,0.11897759722384284
